x,y
understand particular pant made shorter other fit fine except length,3
love cut feel pocket,5
love pant comfort fit well wash dri well shrink,5
perfect french terri pant pocket perfect weight launder well perfect length also,5
save lose weight,3
comfort,5
cute sweat nice cut materi nice weight small return alreadi threw away packag often sweat fit,2
love pocket pocket somewhat rare anymor women sweat pant usual wear small kay fit wish littl elastacin spandex whatev waist panel ye pul tie waist littl much fabric kind bunch long wash put dryer right good navi color dark one replac thank royal blue either fabric perfect weight,4
seem soft comfi good price,4
good warm also practic expect beauti good cut kind big good case otherwis show ugli cut,3
although fit fine wash length shrank look like weird quit crop work thing,1
ok,2
comfort small realli shrunk length wash short even order size larger usual read review help length issu usual order petit cloth emay advantag averag short wash,3
good qualiti excel stich good fit,5
realli wonder light soft buy color long enough,5
well made soft comfort need,5
first pair pull apart drawstr meet button ever put,2
comfi recommend,5
nice fit comfort,5
nice transit weight get pilli alreadi,3
bought pair hane french terri pant navi charcoal heather black charcoal heather polyest cotton color cotton polyest high amount polyest much heavier pant charcoal heather pant nice color wear late fall winter earli spring bought pant wear mostli fall month sinc live south figur pant would long gone amazon look summer cloth highli recommend hane french terri capri pant made like hane french terri capri metal eyelet drawstr pocket lay flat pouffi soft skin fit well rear definit must wear size pant larg size fit perfectli wash instruct wash cold dri low past experi hane know diverg instruct cloth definit shrink,4
nice comfort tad big ok tighten drawstr wish color,5
love pant,5
true size comfi exercis veg,5
fit well fabric look,5
pant tight anoth pair color size fit great,3
wearabl wash shrunk way much even bought larger size,1
comfort exactli want glad got,5
feet gave directli dad,3
packag size stamp insid pant small bigger waist navi small purchas week return got credit,2
love terri pant fit perfectli wash hand sever time still maintain size happi,5
lightweight terri pocket good lay flat insid pant hem well nice flat find thick waist band like tummi tamer make sens bit short waist nice firm layer act control top love em,5
love pant,5
pant soft comfi use sleep think comfort,5
great,4
love comfort color deep fade appear recommend,5
like materi pant feel comfort even summer weather wear lot,5
big bit scratchier imagin emayb soften wash gotta love sweatpant pocket though,5
comfi,5
love pant want comfi fit expect,5
would return life got busi miss return window,2
run small,1
soft comfi sturdi enough gym love pocket surprisingli hard find women gym pant larger would like petit henc star came one size smaller perfect said like enough go order anoth pair,4
nice pant throw go,5
order medium figur would shrink glad tri new way larg wash fit comfort length fine like color well solid navi blue,4
inseam long averag tall person,4
nice larger need,4
